name,embedding,taught_by_classes,required_by_careers
Test Automation,"[0.14313845336437225, -0.2845914959907532, -0.059306591749191284, -0.2558111548423767, 0.046783216297626495, 0.3450620174407959, -0.028780361637473106, 0.29711490869522095, 0.012644320726394653, -0.07544262707233429, -0.021033555269241333, -0.025749655440449715, -0.05988854542374611, -0.036587636917829514, -0.008328765630722046, 0.19714698195457458, 0.0041946168057620525, -0.2762022614479065, 0.24625800549983978, 0.15042424201965332, -0.03472084552049637, 0.019748706370592117, -0.004776572808623314, -0.021555040031671524, 0.1263599842786789, 0.18811532855033875, -0.13055460155010223, 0.0, -0.016718000173568726, -0.125838503241539, 0.0790552943944931, -0.3312537968158722, -0.2138649821281433, 0.14255650341510773, 0.21805959939956665, -0.10125275701284409, -0.03827303647994995, 0.03419935703277588, 0.11803121864795685, 0.18811532855033875, 0.10061033070087433, -0.1468115746974945, -0.008328765630722046, -0.2097308188676834, 0.02516769990324974, -0.1468115746974945, -0.3103411793708801, 0.01322627067565918, -0.17669537663459778, 0.0041946168057620525, -0.012644320726394653, -0.07130848616361618, 0.06233729422092438, -0.17553147673606873, 0.0790552943944931, 0.26949843764305115, -0.09228156507015228, 0.021555040031671524, 0.0005819555371999741, 0.0046556442975997925, -0.10422299802303314, 0.009031660854816437, -0.10067079961299896, 0.10899956524372101, 0.08383186161518097, -0.10480494797229767, -0.18153244256973267, 0.08505624532699585, 0.10480494797229767, 0.0041946168057620525, -0.2605877220630646, -0.01683894544839859, 0.034138888120651245, 0.06408315896987915, 0.0005819555371999741, -0.029944272711873055, -0.14739353954792023, -0.034138888120651245, 0.07963724434375763, -0.02097308449447155, 0.1138366088271141, 0.13061507046222687, 0.0, -0.1053868979215622, 0.10061033070087433, -0.08808694779872894, -0.1544979214668274, -0.04969297721982002, 0.059306591749191284, -0.008389233611524105, -0.13474921882152557, 0.07911576330661774, -0.0491110235452652, 0.08802647888660431, -0.038333505392074585, 0.11616441607475281, -0.01742088794708252, 0.029944272711873055, -0.05149931088089943, -0.05988854542374611, 0.016718000173568726, -0.02097308449447155, -0.02149457484483719, 0.11738879978656769, -0.2521984875202179, 0.07486067712306976, 0.007225323468446732, 0.3103411793708801, -0.050917357206344604, 0.09583376348018646, 0.06350120902061462, 0.062276825308799744, -0.03355693444609642, 0.008389233611524105, -0.08331037312746048, 0.009031660854816437, 0.025749655440449715, 0.09228156507015228, 0.025749655440449715, -0.062276825308799744, 0.11732833087444305, -0.13055460155010223, -0.0041946168057620525, -0.0838923379778862, -0.1557827740907669, -0.04969297721982002, 0.02510722726583481, -0.21444693207740784]",[Software Quality],[QA Automation Engineer]
Testing,"[0.07161246240139008, -0.07412451505661011, -0.20605090260505676, -0.25399303436279297, 0.20515458285808563, 0.22966228425502777, -0.08195566385984421, 0.07502087950706482, 0.09074211865663528, 0.0645596981048584, -0.09946958720684052, -0.02707875706255436, -0.22009743750095367, 0.18518754839897156, 0.0034673959016799927, 0.13963955640792847, 0.004363736137747765, -0.14400330185890198, -0.04465164244174957, -0.05332015082240105, -0.049852751195430756, -0.20168717205524445, -0.01841026544570923, -0.1013212502002716, 0.13276372849941254, 0.03921463340520859, -0.13712747395038605, 0.0, -0.08386629819869995, -0.20951831340789795, 0.004363736137747765, -0.18943333625793457, -0.1448996365070343, 0.13617216050624847, 0.14926335215568542, 0.025286074727773666, -0.10658131539821625, 0.1920633614063263, 0.13623113930225372, 0.03921463340520859, 0.02707875706255436, -0.21818679571151733, 0.0034673959016799927, -0.23133698105812073, 0.09163845330476761, -0.21818679571151733, -0.17980952560901642, 0.1047886461019516, -0.17197838425636292, 0.004363736137747765, -0.09074211865663528, 0.05672856792807579, -0.07950256764888763, -0.02612343430519104, -0.0742424950003624, 0.2043761909008026, -0.030546152964234352, 0.1013212502002716, 0.014046527445316315, -0.15004174411296844, -0.017395958304405212, 0.021818682551383972, -0.03927362710237503, -0.04280000180006027, -0.05583222955465317, -0.031442493200302124, -0.2680395543575287, 0.23312965035438538, 0.031442493200302124, 0.004363736137747765, -0.2724032998085022, -0.0951058566570282, 0.03580623120069504, 0.14585493505001068, 0.014046527445316315, -0.11004871875047684, -0.15362709760665894, -0.11441245675086975, -0.060195960104465485, -0.08727472275495529, 0.053261175751686096, 0.14932234585285187, 0.0, 0.033117204904556274, 0.02707875706255436, -0.026182416826486588, 0.1388021856546402, 0.17024469375610352, 0.20605090260505676, -0.00872747227549553, -0.06288498640060425, 0.08201464265584946, 0.10568498075008392, -0.051468491554260254, -0.11877618730068207, -0.17897215485572815, -0.10915238410234451, 0.11004871875047684, -0.13276372849941254, -0.22009743750095367, 0.0052600763738155365, -0.08727472275495529, 0.05493588000535965, 0.10998973995447159, -0.2636758089065552, -0.07860623300075531, -0.20258350670337677, 0.17980952560901642, -0.19732344150543213, 0.008668489754199982, 0.13180842995643616, -0.013091209344565868, -0.10036592930555344, -0.06987875699996948, -0.0077721476554870605, 0.10042491555213928, 0.10568498075008392, 0.030546152964234352, 0.10568498075008392, 0.09169743955135345, 0.032338835299015045, -0.13712747395038605, -0.004363736137747765, -0.021818682551383972, -0.24096080660820007, 0.17024469375610352, 0.013987548649311066, -0.15894615650177002]",[Software Quality],[IT Quality Analyst]
Threat Analysis,"[-0.1405125856399536, 0.013907238841056824, -0.12165517359972, -0.07942067086696625, -0.02523360587656498, -0.038438282907009125, -0.17571714520454407, 0.05014529079198837, 0.022371603175997734, -0.008326861076056957, -0.34800708293914795, 0.2311016321182251, 0.014667201787233353, 0.05982843041419983, -0.0947798416018486, 0.012864071875810623, 0.10322118550539017, 0.052474502474069595, -0.016850098967552185, 0.09154510498046875, 0.12619970738887787, -0.083473801612854, -0.04841896891593933, -0.06225164234638214, -0.08032575249671936, 0.22593224048614502, -0.06238315999507904, 0.04504014924168587, -0.026787906885147095, -0.13176843523979187, -0.09948861598968506, 0.05292972922325134, -0.17015233635902405, 0.07144831120967865, 0.07172241061925888, 0.012528693303465843, -0.052705250680446625, 0.055365197360515594, -0.027344759553670883, -0.07902148365974426, -0.08651605248451233, 0.010564753785729408, 0.26416754722595215, -0.07334516942501068, -0.054670549929142, -0.043224774301052094, -0.16327320039272308, 0.07728754729032516, 0.26915326714515686, -0.2094402313232422, 0.1488957703113556, -0.03403482213616371, -0.1546436995267868, -0.009634863585233688, -0.041794829070568085, -0.03730005398392677, -0.044077105820178986, 0.07107798010110855, 0.24206991493701935, 0.1390649676322937, 0.14755281805992126, 0.25114166736602783, -0.007095079869031906, 0.1423361897468567, -0.18392281234264374, 0.10331011563539505, 0.04202602431178093, 0.21217010915279388, -0.2780640721321106, 0.0712428167462349, 0.042384251952171326, -0.11134986579418182, 0.0560641810297966, -0.07424352318048477, -0.07513931393623352, 0.25856223702430725, 0.1041017398238182, 0.0005858577787876129, 0.08124639093875885, -0.03757967799901962, 0.0033048391342163086, 0.3147541880607605, -0.0427158921957016, -0.15232570469379425, 0.1253717541694641, -0.27965930104255676, 0.18134941160678864, 0.061525434255599976, -0.018703455105423927, 0.14153483510017395, 0.018840203061699867, 0.03224872797727585, -0.08770836889743805, -0.18348760902881622, 0.030021443963050842, 0.11050532013177872, -0.2866128385066986, -0.08552100509405136, 0.05486065149307251, -0.03183877840638161, -0.12260450422763824, -0.023574993014335632, -0.000433117151260376, -0.15952491760253906, -0.28410863876342773, -0.09667384624481201, -0.17087295651435852, -0.06442557275295258, 0.1250520795583725, 0.0825883150100708, -0.11937245726585388, 0.14521461725234985, -0.005476813763380051, -0.08473443984985352, 0.013253390789031982, 0.10234435647726059, 0.011679362505674362, -0.007825147360563278, -0.1012289971113205, 0.20513707399368286, -0.07665940374135971, -0.0368841253221035, -0.03330191224813461, -0.36498287320137024, 0.0822889506816864, -0.08434869349002838, -0.040611449629068375, 0.03963806480169296]","[Information Security, Digital Forensic]","[Cloud Security Analyst, Cybersecurity Analyst, IT Security Analyst]"
Threat Detection,"[-0.21611502766609192, 0.12276694178581238, -0.04000632092356682, -0.18774697184562683, 0.06053488329052925, 0.028368055820465088, -0.08615496754646301, 0.1894441395998001, 0.02222573384642601, 0.0, -0.11832179129123688, 0.18330182135105133, -0.06498003005981445, 0.18774697184562683, -0.14668984711170197, -0.02222573384642601, 0.05439256131649017, -0.02222573384642601, 0.1716635525226593, 0.02222573384642601, 0.10498635470867157, -0.02222573384642601, 0.024973709136247635, -0.02222573384642601, 0.004445146769285202, 0.1938892900943756, 0.04275429621338844, 0.12276694178581238, 0.046148642897605896, -0.16891558468341827, 0.0027479752898216248, -0.1432954967021942, -0.16107608377933502, 0.007839515805244446, 0.10498635470867157, -0.04275429621338844, -0.04000632092356682, 0.036611974239349365, -0.02222573384642601, -0.15113499760627747, -0.16107608377933502, -0.08276061713695526, 0.16552123427391052, -0.08720576763153076, -0.06053488329052925, -0.1716635525226593, -0.08276061713695526, 0.017780587077140808, 0.08001264184713364, -0.1849989891052246, -0.09334808588027954, -0.14668984711170197, -0.10498635470867157, -0.017780587077140808, -0.06498003005981445, -0.06053488329052925, -0.10498635470867157, -0.01058746874332428, 0.18330182135105133, -0.06498003005981445, 0.167218416929245, 0.25167620182037354, 0.017780587077140808, 0.08615496754646301, -0.2089218944311142, -0.006142318248748779, -0.02222573384642601, 0.2705076038837433, -0.158328115940094, 0.15113499760627747, 0.035561174154281616, -0.12890926003456116, 0.08276061713695526, -0.08276061713695526, -0.06223205476999283, 0.18669617176055908, 0.013335440307855606, -0.006142318248748779, -0.057786908000707626, -0.08276061713695526, 0.024973709136247635, 0.2944304943084717, -0.11112867295742035, -0.19114132225513458, 0.11112867295742035, -0.14054752886295319, 0.266062468290329, 0.03281319886445999, 0.06053488329052925, 0.08001264184713364, 0.0, 0.10054120421409607, -0.04000632092356682, -0.21166987717151642, -0.04275429621338844, 0.10054120421409607, -0.23389561474323273, -0.12890926003456116, 0.11112867295742035, 0.04275429621338844, -0.06053488329052925, 0.08995373547077179, -0.08615496754646301, -0.12171612679958344, -0.25167620182037354, -0.017780587077140808, -0.057786908000707626, -0.10498635470867157, 0.33443683385849, 0.16552123427391052, 0.028368055820465088, 0.08276061713695526, -0.06498003005981445, -0.08276061713695526, 0.15113499760627747, 0.06498003005981445, -0.08890293538570404, 0.10498635470867157, -0.12890926003456116, 0.22775328159332275, -0.10498635470867157, -0.017780587077140808, -0.04000632092356682, -0.29168251156806946, 0.04000632092356682, 0.04275429621338844, -0.017780587077140808, 0.0639292299747467]",[],[Cybersecurity Analyst]
Training,"[0.1995728611946106, -0.15945453941822052, 0.1060544028878212, -0.03842628002166748, -0.03946336358785629, -0.17490148544311523, 0.05019795522093773, -0.015920013189315796, 0.017138972878456116, -0.22575438022613525, -0.14448067545890808, 0.14504468441009521, -0.10878352075815201, 0.16529490053653717, -0.09653876721858978, -0.034096065908670425, -0.07685256004333496, 0.0, -0.10670934617519379, 0.09493766725063324, 0.006404380779713392, -0.11951810121536255, 0.07685256004333496, 0.07421436905860901, -0.04530373215675354, -0.20372118055820465, 0.15945453941822052, 0.014882929623126984, -0.07468745112419128, -0.015446938574314117, -0.0421924851834774, -0.010170578956604004, -0.10991154611110687, 0.11311373114585876, 0.015920013189315796, -0.05019795522093773, 0.01450078934431076, -0.23630709946155548, 0.020341157913208008, 0.01328183338046074, -0.0538732185959816, -0.1270505040884018, 0.026654602959752083, -0.03305898234248161, -0.22895656526088715, 0.0036752671003341675, -0.24638675153255463, -0.1136777400970459, 0.2358340322971344, -0.23150381445884705, 0.021851317957043648, -0.07685256004333496, 0.1270505040884018, 0.23093979060649872, -0.13223592936992645, 0.06027759611606598, 0.11142169684171677, -0.03522408753633499, 0.05971358343958855, 0.0, -0.04210153967142105, -0.00960657000541687, 0.020814234390854836, -0.35045790672302246, 0.07741658389568329, -0.13618400692939758, -0.22189724445343018, 0.04435759037733078, 0.29874980449676514, 0.004421159625053406, 0.00960657000541687, -0.07101218402385712, 0.29978686571121216, -0.029856791719794273, -0.07365036010742188, -0.004330210387706757, -0.008569486439228058, 0.06149657070636749, -0.13072577118873596, -0.2090884894132614, -0.07252234220504761, 0.1851630061864853, 0.05924051254987717, 0.04746883735060692, -0.11094862222671509, -0.011771675199270248, -0.09286350756883621, -0.12168321013450623, 0.19316847622394562, 0.1280875951051712, 0.13985925912857056, -0.15728943049907684, -0.017612043768167496, -0.32060110569000244, -0.0021651051938533783, -0.19835390150547028, 0.0842030793428421, -0.036261171102523804, -0.00960657000541687, 0.13223592936992645, -0.06291577219963074, 0.0027291178703308105, -0.14937490224838257, -0.026654602959752083, 0.025708459317684174, 0.05019795522093773, -0.10454423725605011, -0.08052781969308853, -0.06517183035612106, 0.04059137776494026, -0.19373250007629395, 0.036261171102523804, -0.05019795522093773, -0.08966132253408432, 0.0, 0.1094384640455246, 0.014409853145480156, 0.16746000945568085, 0.008005473762750626, 0.06442592293024063, 0.04435759037733078, -0.17753966152668, -0.08109182119369507, 0.14344359934329987, 0.2816108465194702, -0.036261171102523804, -0.18883827328681946, -0.2869781255722046]",[],"[IT Analyst Trainee, IT Trainer, IT Trainer Specialist, Network Administrator Trainee]"
Troubleshooting,"[0.009053431451320648, -0.09726735949516296, -0.07562357932329178, -0.025096580386161804, 0.08645923435688019, -0.03738320991396904, -0.1221282035112381, -0.2113921195268631, -0.0775514468550682, -0.2122042179107666, 0.15716053545475006, 0.005745765753090382, -0.044445380568504333, -0.02355683222413063, 0.06382549554109573, -0.00024496670812368393, -0.023901071399450302, 0.02178840897977352, -0.24597163498401642, 0.2184218019247055, 0.02867867425084114, 0.09526114165782928, -0.09128239750862122, 0.03163551166653633, -0.04864414036273956, -0.0023068739101290703, 0.24116721749305725, -0.3014599680900574, -0.0284917950630188, 0.24283766746520996, -0.1361444592475891, 0.04751568287611008, -0.11819261312484741, 0.030350781977176666, -0.0518779382109642, 0.23145601153373718, -0.3247639834880829, -0.004974521696567535, 0.019931595772504807, 0.01863539218902588, 0.03269890323281288, 0.06271355599164963, -0.04880933463573456, 0.058018915355205536, 0.01754361018538475, 0.1912795603275299, -0.06827566772699356, -0.1179487407207489, 0.22382330894470215, 0.000499386340379715, 0.17498382925987244, -0.2170773446559906, 0.06349806487560272, -0.197913259267807, -0.13986194133758545, 0.041013382375240326, -0.12272960692644119, -0.02926352620124817, 0.03158669173717499, -0.34790438413619995, 0.07230108976364136, 0.2431754469871521, 0.20102214813232422, -0.13445907831192017, -0.005017411429435015, -0.10864634066820145, -0.1348244994878769, -0.0007378607988357544, -0.021918635815382004, -0.14300759136676788, -0.06443507969379425, -0.027064351364970207, -0.20881931483745575, 0.008338850922882557, -0.09167810529470444, 0.09428614377975464, -0.09098882973194122, 0.11452341824769974, 0.0773255005478859, 0.11278870701789856, -0.274015873670578, -0.16772028803825378, 0.0969046875834465, -0.11114804446697235, -0.21212561428546906, 0.11166263371706009, -0.11575472354888916, -0.18968746066093445, 0.09505435079336166, -0.14405600726604462, 0.023741574957966805, 0.24215549230575562, 0.04954937472939491, -0.0642731562256813, 0.03596607223153114, 0.14196541905403137, -0.048583984375, -0.18764297664165497, -0.03919961303472519, 0.005062969401478767, -0.04320598021149635, 0.07733959704637527, 0.04633995145559311, 0.33846768736839294, -0.009523510932922363, -0.1443183571100235, 0.1630907654762268, -0.11750362068414688, 0.15753380954265594, 0.26476964354515076, 0.06320210546255112, 0.16354848444461823, 0.009296964854001999, -0.01215096190571785, -0.021766968071460724, 0.11579219251871109, 0.07937328517436981, 0.03460235521197319, 0.07503466308116913, 0.029191669076681137, 0.04542522504925728, -0.10428249090909958, 0.025208834558725357, 0.01674821600317955, -0.07380368560552597, -0.10298330336809158, 0.14843985438346863, -0.017049625515937805]","[Practical Work, Final Project, Internship]","[IT Analyst, IT Helpdesk Support, IT Service Desk Analyst, IT Support Analyst, IT Support Specialist]"
UI/UX Design,"[0.034617066383361816, 0.0854884684085846, 0.04755933955311775, -0.14626838266849518, -0.13834288716316223, 0.07305412739515305, -0.015760313719511032, -0.07365259528160095, 0.01649089902639389, -0.04098380357027054, 0.15770767629146576, -0.08683834224939346, -0.2301216721534729, 0.08255906403064728, -0.04234759882092476, -0.11426065117120743, -0.12135104835033417, -0.06389710307121277, -0.1135299876332283, -0.0043419599533081055, -0.17958423495292664, 0.27842551469802856, -0.011042602360248566, 0.15042239427566528, -0.04402446001768112, 0.2226414978504181, 0.2416374385356903, 0.17921540141105652, 0.07566345483064651, -0.06739713251590729, 0.07612273097038269, 0.19389721751213074, -0.0018022358417510986, -0.21299754083156586, 0.14215606451034546, 0.08941973000764847, -0.0575026199221611, 0.25675761699676514, -0.008892625570297241, -0.12820489704608917, 0.12302791327238083, 0.17957733571529388, 0.03396983444690704, 0.015683798119425774, -0.058803740888834, 0.02056846395134926, 0.1454681158065796, 0.16877810657024384, -0.1959429383277893, 0.003312155604362488, 0.012949194759130478, 0.003806166350841522, -0.11275075376033783, 0.09646855294704437, 0.1766756772994995, 0.1289772391319275, -0.06053636223077774, -0.019635997712612152, 0.015523761510848999, -0.09164649248123169, -0.1352674663066864, -0.051198557019233704, -0.018063489347696304, -0.14619877934455872, 0.01370762288570404, 0.222398042678833, -0.2012033462524414, 0.06662480533123016, -0.3082622289657593, 0.20095288753509521, -0.2608072757720947, 0.05465665087103844, -0.013651929795742035, 0.12821872532367706, -0.08477882295846939, 0.07790397107601166, -0.07789713889360428, -0.24193669855594635, -0.19243599474430084, -0.06713274866342545, 0.10374681651592255, 0.22183440625667572, 0.078001469373703, 0.11633419990539551, -0.09717129170894623, -0.13419589400291443, -0.1766130030155182, -0.01807039976119995, 0.07107803225517273, -0.2320420742034912, -0.0525205135345459, -0.053786877542734146, -0.12389770895242691, -0.0010298937559127808, -0.07000645995140076, -0.27374956011772156, -0.12396037578582764, -0.043885357677936554, -0.08078467100858688, 0.1446748673915863, -0.16389352083206177, -0.14676932990550995, -0.043586209416389465, -0.011613233014941216, 0.036628007888793945, 0.15246117115020752, 0.04251464083790779, 0.007591430097818375, 0.02261415868997574, 0.11345347762107849, 0.09920307993888855, -0.07279665768146515, -0.03875723481178284, -0.03869454562664032, 0.11011350154876709, -0.024381550028920174, 0.08231551200151443, 0.09774183481931686, 0.09211958944797516, 0.04954928904771805, 0.046793922781944275, 0.04220148175954819, 0.14958736300468445, -0.1655077189207077, -0.09254411607980728, 0.20353436470031738, -0.2111605405807495, 0.1384751796722412]","[Human and Computer Interaction, X Reality, Special Topics on Graphics, Interaction and Game, Interface Programming]",[UX/UI Designer]
UX Design,"[0.10316424071788788, 0.23571018874645233, -0.09333712607622147, -0.10932230204343796, -0.08023957163095474, -0.02205493301153183, 0.11260858178138733, -0.02258829027414322, 0.0643540620803833, 0.10198652744293213, 0.05278530344367027, 0.1606898307800293, -0.2577729821205139, -0.2150287926197052, 0.015122296288609505, 0.013149624690413475, -0.04294348880648613, -0.12899459898471832, -0.07639389485120773, -0.007231617346405983, 0.055446431040763855, 0.08052387088537216, 0.036299653351306915, 0.02504223957657814, 0.10657171905040741, -0.009889388456940651, 0.03972398489713669, -0.090250164270401, -0.0957808792591095, -0.019157111644744873, 0.038572318851947784, 0.04161518067121506, 0.04967229813337326, -0.3061486780643463, -0.20499902963638306, -0.21329283714294434, 0.1251036524772644, 0.0027313889004290104, 0.016051962971687317, -0.18694834411144257, -0.09298154711723328, 0.1850232481956482, 0.12699134647846222, -0.06241878122091293, -0.10219033807516098, 0.3206798732280731, 0.060886651277542114, 0.2527133524417877, -0.027140604332089424, -0.05409891530871391, 0.05530150979757309, -0.09576953947544098, -0.0662599503993988, 0.01772346720099449, 0.0816902443766594, 0.25347205996513367, 0.0387093648314476, -0.0948069766163826, 0.1144600585103035, -0.2120313048362732, -0.06267018616199493, 0.017396122217178345, 0.04594097658991814, -0.1270616352558136, -0.1543312817811966, 0.21028399467468262, -0.09369269013404846, 0.006394773721694946, -0.1574409306049347, 0.18347293138504028, -0.03409477695822716, -0.07283701747655869, 0.17258025705814362, -0.03843874856829643, -0.20341479778289795, 0.000203828327357769, -0.1904531568288803, -0.13354922831058502, -0.12265422940254211, 0.0245349183678627, 0.23127223551273346, 0.044801801443099976, 0.26448941230773926, 0.03682165592908859, -0.1444747895002365, -0.18306976556777954, -0.08706804364919662, 0.02795373648405075, 0.13338278234004974, -0.04675629734992981, 0.15535274147987366, -0.051592886447906494, -0.07639389485120773, -0.09731534123420715, -0.11156223714351654, -0.2239341139793396, 0.04671555012464523, -0.12285806238651276, 0.19316300749778748, 0.007973305881023407, -0.17520514130592346, -0.2330908328294754, 0.039368417114019394, 0.07349607348442078, 0.030592307448387146, 0.20368540287017822, 0.08558349311351776, 0.04209980368614197, 0.008345908485352993, 0.011077295988798141, 0.17642360925674438, -0.16915461421012878, -0.048391565680503845, 0.13148824870586395, 0.06116744503378868, 0.11081820726394653, 0.12655431032180786, 0.12272783368825912, -0.19184939563274384, -0.17779164016246796, 0.011857550591230392, 0.06342890113592148, 0.1565825641155243, -0.16592273116111755, -0.09210848063230515, 0.13739490509033203, -0.21695390343666077, 0.2897603511810303]","[Human and Computer Interaction, User Experience Design]","[UX Designer, UX Researcher]"
UX Research,"[-0.018609970808029175, 0.07787790894508362, 0.0007532042800448835, 0.023584583774209023, 0.06998545676469803, -0.23906370997428894, -0.07596360146999359, -0.012051274999976158, 0.0015064093749970198, -0.06176277995109558, -0.031744666397571564, 0.13557684421539307, -0.018139496445655823, -0.007532045710831881, 0.04252477362751961, -0.048612989485263824, 0.07370398193597794, -0.1900579035282135, -0.029029671102762222, -0.061244815587997437, -0.06060167774558067, -0.019127942621707916, -0.038476020097732544, 0.16466909646987915, -0.07150695472955704, 0.06182536482810974, 0.1266009658575058, -0.0049746036529541016, -0.23529767990112305, -0.10660974681377411, -0.2347797155380249, 0.20065027475357056, -0.042414698749780655, -0.21044191718101501, -0.07080123573541641, 0.017621532082557678, 0.03430210053920746, 0.11083114892244339, 0.025451406836509705, -0.1151302382349968, 0.10348686575889587, -0.04213196784257889, -0.08504956215620041, -0.2623029947280884, 0.09148307144641876, -0.006370943039655685, -0.031869836151599884, -0.029610222205519676, 0.062405914068222046, 0.18859899044036865, -0.06275122612714767, -0.29636985063552856, -0.17734840512275696, 0.2043537050485611, 0.10510334372520447, 0.1983906477689743, -0.015817297622561455, 0.014891436323523521, 0.11101891100406647, 0.06060167774558067, -0.2861076891422272, -0.1114116981625557, -0.11855095624923706, -0.05463862791657448, -0.0075320471078157425, 0.09496636688709259, -0.2526213824748993, 0.10533858090639114, -0.06796107441186905, 0.035400617867708206, -0.0716170221567154, -0.007532046176493168, 0.15735718607902527, 0.05203370377421379, 0.016868330538272858, -0.10504074394702911, -0.2921333312988281, -0.0783332884311676, 0.03940188139677048, 0.13778896629810333, -0.042822591960430145, -0.06436771154403687, 0.09866981208324432, 0.10353434085845947, -0.02108973078429699, -0.1804238110780716, -0.05429331585764885, 0.16779199242591858, 0.03238780051469803, -0.2654884457588196, 0.09862232208251953, -0.13557684421539307, -0.10435013473033905, -0.09559439867734909, -0.05388542264699936, -0.05590979754924774, -0.06100957468152046, -0.10152506828308105, -0.068431556224823, -0.15423429012298584, 0.030426010489463806, -0.11043836921453476, 0.14351677894592285, 0.17353489995002747, 0.1343056559562683, 0.10133731365203857, 0.028621777892112732, 0.035055309534072876, 0.06402239203453064, -0.2017487734556198, 0.17092996835708618, -0.10336168855428696, 0.009148523211479187, 0.06576404720544815, -0.003766023088246584, 0.10499327629804611, -0.06089950352907181, -0.062453411519527435, 0.03789547085762024, -0.06060167774558067, 0.15203726291656494, 0.004519227892160416, 0.10591913759708405, 0.18767312169075012, 0.18065905570983887, -0.1026710718870163, -0.2401147335767746, 0.06367708742618561]",[Human and Computer Interaction],[UX Research Assistant]
User Research,"[0.041762109845876694, 0.2417140156030655, -0.07296522706747055, -0.051451411098241806, -0.04132726415991783, -0.0619908943772316, 0.14508026838302612, 0.05315177142620087, 0.10331816226243973, 0.11472733318805695, 0.010124146938323975, 0.20707117021083832, -0.18640752136707306, -0.24839843809604645, 0.04047708213329315, 0.06327592581510544, -0.06327592581510544, -0.0927591472864151, -0.04132726415991783, -0.07211504131555557, 0.12311210483312607, 0.05188625678420067, 0.09534871578216553, -0.06327592581510544, 0.13667598366737366, -0.0619908943772316, 0.008404277265071869, -0.16659408807754517, -0.06327592581510544, 0.061556052416563034, -0.003420233726501465, 0.010558992624282837, 0.03163796290755272, -0.2914455533027649, -0.32349884510040283, -0.24883326888084412, 0.08308937400579453, -0.05315177142620087, -0.0004348456859588623, -0.21007606387138367, -0.16659408807754517, 0.18856224417686462, 0.17754888534545898, -0.03163796290755272, -0.07296522706747055, 0.33490803837776184, 0.02323368936777115, 0.25852257013320923, -0.008839122951030731, -0.09362885355949402, 0.09319401532411575, -0.031203117221593857, -0.041762109845876694, 0.041762109845876694, 0.041762109845876694, 0.24839843809604645, 0.09319401532411575, -0.04132726415991783, 0.10331816226243973, -0.20835620164871216, -0.03163796290755272, 0.041307758539915085, 0.10331816226243973, -0.11516217142343521, -0.19651217758655548, 0.21848033368587494, -0.04132726415991783, 0.02024829387664795, -0.05188625678420067, 0.21848033368587494, 0.0619908943772316, -0.09491388499736786, 0.17843809723854065, -0.05188625678420067, -0.1569242775440216, 0.0, -0.12485148012638092, -0.08308937400579453, -0.10331816226243973, 0.0, 0.26024243235588074, 0.0017198696732521057, 0.2733519673347473, 0.06327592581510544, -0.19823205471038818, -0.20835620164871216, -0.04132726415991783, 0.07383491098880768, 0.13667598366737366, -0.008404277265071869, 0.19823205471038818, -0.0012850314378738403, -0.10331816226243973, -0.11516217142343521, -0.041762109845876694, -0.1851225048303604, 0.11514266580343246, -0.10331816226243973, 0.20835620164871216, -0.041762109845876694, -0.1552044153213501, -0.15476955473423004, -0.021948661655187607, 0.041762109845876694, 0.08694447576999664, 0.19823205471038818, 0.09491388499736786, -0.021948661655187607, -0.03163796290755272, -0.05186674743890762, 0.12356645613908768, -0.1863880306482315, -0.07383491098880768, 0.18854275345802307, 0.10331816226243973, 0.10331816226243973, 0.07468508929014206, 0.10460318624973297, -0.19823205471038818, -0.17843809723854065, -0.03035293146967888, 0.05188625678420067, 0.09491388499736786, -0.11472733318805695, -0.10503803193569183, 0.08308937400579453, -0.15476955473423004, 0.2914455533027649]",[User Experience Design],[UX Researcher]
