name,embedding,description,required_skills,recommended_classes
Machine Learning Engineer,"[0.05915750935673714, 0.024423465132713318, 0.11842110008001328, 0.0544486865401268, 0.11326807737350464, 0.06251660734415054, 0.04385267570614815, -0.007032617926597595, -0.07596743106842041, 0.206705242395401, 0.013355890288949013, 0.11831600964069366, 0.031631533056497574, -0.0698719173669815, 0.26922184228897095, 0.1846723109483719, -0.07231398671865463, -0.2303806096315384, 0.1720750480890274, -0.1122177392244339, 0.15730109810829163, -0.1166338324546814, -0.024527305737137794, 0.4190300703048706, 0.05308418348431587, 0.13298837840557098, 0.05679094046354294, 0.006098905578255653, 0.10099513828754425, 0.07310548424720764, 0.08130933344364166, 0.12069825828075409, -0.1052873283624649, -0.15529397130012512, 0.09832368046045303, 0.2641647458076477, -0.1560710370540619, 0.15088188648223877, 0.0292911808937788, -0.19256967306137085, -0.16204503178596497, -0.08209192007780075, -0.045105062425136566, 0.03948060795664787, 0.027302604168653488, -0.08576154708862305, 0.07851008325815201, -0.25070178508758545, 0.1776246279478073, 0.21512795984745026, 0.27120891213417053, 0.18601185083389282, 0.05819946900010109, 0.1232047975063324, -0.04011306166648865, -0.12024000287055969, -0.23665598034858704, 0.03449023514986038, 0.001735106110572815, -0.04483629763126373, 0.15154720842838287, 0.0278758704662323, 0.18194568157196045, -0.036180317401885986, 0.11512470990419388, -0.01849612593650818, -0.0005598507705144584, -0.13380908966064453, 0.054576486349105835, 0.004258954897522926, -0.03347437456250191, -0.07072874158620834, 0.056733742356300354, -0.01824340969324112, -0.11740688234567642, -0.09556157141923904, -0.09297224879264832, -0.11353521049022675, -0.059183090925216675, 0.15936240553855896, 0.055882807821035385, 0.1126159131526947, -0.03601539507508278, -0.13856130838394165, -0.04268794506788254, 0.07126426696777344, -0.07060445100069046, -0.09781274944543839, -0.0483497679233551, 0.19594193994998932, -0.19816753268241882, -0.30354025959968567, 0.05831773579120636, -0.1449078917503357, -0.06213220953941345, 0.25706616044044495, 0.17837274074554443, -0.2591905891895294, -0.06736036390066147, 0.020794343203306198, 0.09437187761068344, -0.08155025541782379, -0.14269796013832092, -0.3698575496673584, -0.11923529207706451, -0.019780367612838745, -0.13598641753196716, -0.3058536648750305, 0.005982270464301109, 0.012597257271409035, 0.05452657863497734, 0.04697086289525032, 0.24695828557014465, 0.008349474519491196, 0.07272270321846008, 0.0586676299571991, 0.09317003190517426, 0.06338133662939072, 0.03647366911172867, -0.05929910019040108, 0.07227949798107147, 0.303173303604126, 0.2424551248550415, -0.1065170168876648, 0.0835254117846489, -0.0032996535301208496, 0.020004110410809517, -0.08310163021087646]",Develop ML models,"[Python, Machine Learning]","[Artificial Intelligence Concepts, Machine Learning, Competitive Programming, Image Processing and Computer Vision, Applied Data Science Programming, Deep Learning, Text Mining, Special Topics on Intelligent Computation and Vision]"
Mobile App Developer,"[0.23616252839565277, -0.007618315517902374, -0.06489540636539459, 0.23616252839565277, -0.0818244069814682, -0.02454731985926628, -0.11399003863334656, 0.27763885259628296, 0.23616252839565277, 0.11399003863334656, 0.11455415934324265, 0.02454731985926628, -0.01692900061607361, 0.13853736221790314, 0.0, -0.3349159359931946, 0.0818244069814682, 0.1636488139629364, 0.07420609146356583, -0.27763885259628296, -0.17888544499874115, -0.02454731985926628, -0.13853736221790314, 0.03978396952152252, -0.03216564282774925, 0.007618315517902374, -0.04965875297784805, -0.02454731985926628, -0.17126712203025818, 0.06489540636539459, -0.08944272249937057, 0.02454731985926628, 0.0, -0.02454731985926628, -0.1636488139629364, -0.0818244069814682, 0.01692900061607361, 0.007618315517902374, -0.11399003863334656, -0.05727707967162132, -0.007618315517902374, 0.04965875297784805, 0.27763885259628296, 0.19581444561481476, 0.0, -0.0818244069814682, 0.10637172311544418, -0.1636488139629364, -0.02454731985926628, 0.10637172311544418, -0.04034808278083801, -0.11399003863334656, 0.01692900061607361, -0.17126712203025818, -0.2530915439128876, 0.007618315517902374, 0.03216564282774925, -0.01692900061607361, 0.0, 0.1881961226463318, 0.17888544499874115, -0.10637172311544418, 0.19581444561481476, 0.20399688184261322, 0.02454731985926628, -0.06489540636539459, -0.17126712203025818, -0.05727707967162132, -0.02454731985926628, 0.03216564282774925, -0.0818244069814682, 0.007618315517902374, -0.10637172311544418, -0.06489540636539459, 0.0, -0.007618315517902374, -0.17888544499874115, 0.01692900061607361, 0.02454731985926628, -0.15433812141418457, -0.0818244069814682, 0.11399003863334656, -0.2530915439128876, 0.1467197984457016, -0.007618315517902374, 0.12217248231172562, 0.08944272249937057, -0.0818244069814682, -0.02454731985926628, -0.13091903924942017, -0.03272975981235504, 0.0818244069814682, -0.15433812141418457, 0.0818244069814682, 0.1467197984457016, 0.007618315517902374, -0.03216564282774925, -0.08944272249937057, 0.06489540636539459, -0.1467197984457016, 0.02454731985926628, -0.007618315517902374, -0.0818244069814682, 0.0, 0.0818244069814682, -0.05727707967162132, 0.007618315517902374, 0.13091903924942017, 0.09706103801727295, 0.17126712203025818, 0.08944272249937057, -0.13853736221790314, -0.1881961226463318, -0.19581444561481476, 0.18650378286838531, 0.08944272249937057, 0.07420609146356583, 0.28525716066360474, -0.1461556851863861, -0.007618315517902374, -0.07420609146356583, 0.08944272249937057, 0.02454731985926628, 0.08944272249937057, -0.19581444561481476, 0.08944272249937057, 0.0, -0.007618315517902374]",Develop mobile apps,"[iOS, Android, Mobile Development]","[Mobile Programming, Mobile Computing]"
Network Administrator Trainee,"[0.22259621322155, -0.14746183156967163, 0.12575849890708923, -0.1398615539073944, -0.05446695536375046, -0.2405713051557541, 0.04519936442375183, -0.0666172057390213, 0.09832337498664856, -0.21333187818527222, -0.20392048358917236, 0.1891210973262787, -0.16305702924728394, 0.11148246377706528, -0.10904204100370407, -0.1665095090866089, 0.04691102355718613, -0.014255501329898834, -0.03817325085401535, -0.05168917030096054, 0.0253991037607193, -0.11146841943264008, 0.007660813629627228, -0.012598983943462372, -0.14277775585651398, -0.1729387640953064, 0.19054514169692993, -0.03474021703004837, -0.0781652107834816, -0.038314901292324066, -0.05078090727329254, 0.028102289885282516, -0.11981150507926941, 0.05911750718951225, 0.006476826965808868, -0.08729764074087143, 0.14074820280075073, -0.17093732953071594, 0.000654175877571106, -0.030934130772948265, -0.08542162925004959, 0.016412638127803802, 0.07338705658912659, 0.005234444513916969, -0.21879231929779053, -0.010785691440105438, -0.30614835023880005, -0.13675613701343536, 0.17916473746299744, -0.248579204082489, 0.08710193634033203, 0.042901668697595596, 0.09094910323619843, 0.19945159554481506, -0.07573235034942627, 0.09567426145076752, 0.02797144651412964, -0.031048744916915894, 0.06102486699819565, 0.020715024322271347, -0.0909869447350502, -0.12485673278570175, -0.062367815524339676, -0.301119327545166, 0.08116142451763153, -0.2563308775424957, -0.24556246399879456, 0.13562189042568207, 0.1786046326160431, 0.04785822331905365, 0.06783473491668701, -0.03562144935131073, 0.3837599754333496, 0.0481155589222908, -0.014896693639457226, 0.05894559249281883, 0.0918811559677124, 0.04763872176408768, -0.1245831698179245, -0.11680449545383453, -0.18265508115291595, 0.21012915670871735, 0.04742354154586792, 0.001886814832687378, -0.14111042022705078, -0.033860061317682266, -0.12450531870126724, -0.0871657207608223, 0.1909603327512741, 0.055542826652526855, 0.1548890918493271, -0.2025969922542572, 0.02795739471912384, -0.3721773624420166, 0.04444355517625809, -0.21026864647865295, -0.05734530836343765, -0.035641998052597046, -0.08676782250404358, 0.18888536095619202, -0.056684643030166626, -0.05456535145640373, -0.17851057648658752, 0.014596102759242058, 0.041729554533958435, 0.07504682242870331, -0.10466828942298889, -0.08084891736507416, -0.1529957801103592, 0.008994024246931076, -0.24240948259830475, 0.041433289647102356, -0.03473047912120819, -0.10367568582296371, 0.015146469697356224, 0.08059483021497726, -0.03764992207288742, 0.13618306815624237, -0.1031426191329956, 0.0892287865281105, 0.06803692877292633, -0.12807677686214447, -0.1456625908613205, 0.04064071178436279, 0.2566930651664734, -0.11293353140354156, -0.26661160588264465, -0.21312643587589264]",Train as network admin,"[Training, Networking]","[Computer Network, Network Programming, Wireless Network, Distributed Systems, Network Technology, IoT Technology, Special Topics on Computer Architecture and Networks, Special Topics on Network Based Computation, Network Security, Pervasive Computing and sensor networks]"
Network Engineer,"[-0.05409734696149826, 0.044911451637744904, 0.13808785378932953, -0.15781092643737793, -0.036380380392074585, -0.07931225001811981, -0.03369976580142975, -0.05500422790646553, 0.15481583774089813, 0.014121240004897118, -0.2509189546108246, 0.11487700045108795, -0.14805711805820465, -0.01792052946984768, -0.13084197044372559, -0.2093040645122528, 0.20659369230270386, -0.10865488648414612, 0.06540302187204361, -0.0998486652970314, 0.04671674594283104, -0.08027813583612442, 0.1031314879655838, -0.15062886476516724, -0.08207565546035767, 0.07448210567235947, 0.022491976618766785, 0.011418230831623077, 0.029885156080126762, -0.07175072282552719, 0.0393928699195385, 0.09522802382707596, -0.11104409396648407, -0.04451507329940796, -0.07601705193519592, -0.06465556472539902, 0.15754424035549164, 0.029261663556098938, -0.025493256747722626, -0.04426097869873047, -0.20305174589157104, 0.08289013803005219, 0.05266852676868439, 0.07295334339141846, -0.16351957619190216, 0.10772763192653656, -0.23694248497486115, -0.09628083556890488, 0.154880091547966, -0.18834221363067627, 0.06971418857574463, 0.14841094613075256, 0.10391920804977417, 0.23467928171157837, 0.1999303698539734, -0.0963268056511879, 0.14249804615974426, -0.004571218974888325, 0.10660599172115326, -0.0000779964029788971, -0.24123193323612213, -0.0146731436252594, -0.13843345642089844, 0.023816734552383423, 0.11124491691589355, -0.3542560338973999, -0.13308663666248322, 0.06024422496557236, -0.07258418947458267, 0.08387523144483566, 0.02740078791975975, 0.017719481140375137, 0.1446446180343628, 0.015167180448770523, 0.18007922172546387, 0.09220685064792633, 0.106747567653656, -0.032352376729249954, -0.025654274970293045, 0.226441890001297, -0.18878023326396942, 0.06837388873100281, 0.1004318967461586, -0.04489518702030182, -0.20033133029937744, -0.36023736000061035, -0.15462392568588257, 0.19869482517242432, 0.05880030244588852, -0.1237502470612526, 0.11918176710605621, -0.07067710906267166, 0.005803115665912628, -0.251326322555542, 0.12288978695869446, -0.04897468164563179, -0.20213137567043304, -0.08400216698646545, -0.20813940465450287, 0.1419404298067093, -0.027207747101783752, -0.015379440039396286, -0.054019805043935776, 0.026675745844841003, -0.010562114417552948, 0.17730139195919037, 0.05988398194313049, -0.11435827612876892, -0.09712298959493637, -0.07665839791297913, -0.04081025347113609, 0.05602866783738136, 0.11899124830961227, -0.17459195852279663, 0.21861781179904938, 0.15539883077144623, -0.09010467678308487, 0.061614036560058594, -0.15946733951568604, 0.1965947151184082, 0.018800418823957443, -0.08506572246551514, -0.1751747578382492, -0.023938864469528198, 0.10953271389007568, -0.02780081331729889, -0.1801665872335434, 0.01315329410135746]",Manage network infrastructure,"[Networking, Cisco, Network Troubleshooting, WAN]","[Computer Network, Network Programming, Wireless Network, Distributed Systems, Network Technology, IoT Technology, Special Topics on Computer Architecture and Networks, Special Topics on Network Based Computation, Network Security, Pervasive Computing and sensor networks]"
Network Security Engineer,"[0.05254548043012619, -0.23918159306049347, -0.18230947852134705, 0.11941077560186386, -0.12090414017438889, 0.015146251767873764, 0.029259447008371353, -0.023799510672688484, 0.15268997848033905, 0.01947288028895855, -0.3479793667793274, 0.2679807245731354, -0.16170328855514526, 0.11869068443775177, 0.07124509662389755, -0.13883048295974731, 0.012826453894376755, 0.0810316726565361, -0.08273163437843323, -0.13960374891757965, 0.1619630753993988, -0.18612262606620789, 0.06259183585643768, -0.22012193500995636, 0.010046351701021194, -0.061972007155418396, -0.09123146533966064, 0.11487753689289093, 0.06393175572156906, -0.09921780973672867, 0.020139798521995544, 0.35905876755714417, -0.16670294106006622, 0.04821885749697685, 0.0055131129920482635, 0.06274527311325073, -0.037245798856019974, -0.0037599727511405945, 0.003759976476430893, -0.0878315269947052, -0.21842196583747864, 0.09684483706951141, 0.12291097640991211, 0.026012957096099854, 0.012259803712368011, 0.011899755336344242, -0.06459866464138031, 0.16742300987243652, 0.12456385046243668, -0.15346325933933258, 0.11765763908624649, 0.08237159252166748, -0.032559119164943695, 0.05295870080590248, 0.044559136033058167, 0.14207696914672852, -0.05383222922682762, -0.0516187846660614, 0.25489452481269836, 0.30532681941986084, -0.056872110813856125, -0.0551721453666687, -0.042859166860580444, 0.005973421037197113, 0.03435934707522392, 0.059605129063129425, 0.09329146146774292, 0.0819583609700203, -0.22614853084087372, 0.017926353961229324, 0.09071798622608185, 0.03909919410943985, 0.184989333152771, 0.03307260200381279, 0.007986344397068024, 0.044559136033058167, 0.07047183811664581, 0.032559119164943695, 0.2609211206436157, -0.05135899782180786, 0.14882367849349976, 0.08041183650493622, 0.10210426896810532, 0.3150131106376648, 0.08350490033626556, -0.16381648182868958, 0.07047183811664581, 0.13697707653045654, -0.029672667384147644, -0.1439303755760193, 0.04419909045100212, -0.19122251868247986, 0.21424877643585205, -0.16381648182868958, -0.13960374891757965, 0.008759602904319763, -0.048938944935798645, 0.12209061533212662, -0.15778988599777222, 0.02693966031074524, -0.20703569054603577, 0.10601767152547836, -0.06027204543352127, 0.06367197632789612, -0.11503098160028458, -0.2110554575920105, -0.24469472467899323, -0.007726561278104782, -0.050845518708229065, 0.16546326875686646, -0.18313592672348022, -0.013599720783531666, 0.14285025000572205, -0.02719944156706333, 0.0356992669403553, -0.004173189401626587, 0.13867704570293427, 0.05357244610786438, -0.16680318117141724, -0.06011861562728882, 0.2547410726547241, 0.33747267723083496, 0.0, -0.18534937500953674, 0.15856315195560455, 0.0020600128918886185, -0.1307438760995865, 0.0389457605779171]",Secure networks,"[Security, Firewall, VPN]","[Information Security, Application Security, Computer Network, Network Technology, Network Security]"
QA Automation Engineer,"[0.13474921882152557, -0.2856791615486145, -0.029944272711873055, -0.21021419763565063, 0.030548572540283203, 0.3755120038986206, 0.029944272711873055, 0.2850748896598816, 0.0006043016910552979, -0.10480494797229767, -0.0006043016910552979, -0.029944272711873055, -0.05988854542374611, -0.04552070423960686, 0.0006043016910552979, 0.21081849932670593, 0.0, -0.2856791615486145, 0.255734920501709, 0.18087422847747803, -0.05988854542374611, 0.04491640627384186, -0.029944272711873055, -0.029944272711873055, 0.13474921882152557, 0.18026992678642273, -0.13474921882152557, 0.0, 0.0006043016910552979, -0.10540924966335297, 0.07486067712306976, -0.3150191307067871, -0.21021419763565063, 0.10480494797229767, 0.21021419763565063, -0.13535352051258087, -0.029339969158172607, 0.030548572540283203, 0.13535352051258087, 0.18026992678642273, 0.10480494797229767, -0.10540924966335297, 0.0006043016910552979, -0.21081849932670593, 0.0, -0.10540924966335297, -0.3156234622001648, 0.030548572540283203, -0.13474921882152557, 0.0, -0.0006043016910552979, -0.10540924966335297, 0.07546497881412506, -0.18026992678642273, 0.07486067712306976, 0.26949843764305115, -0.10540924966335297, 0.029944272711873055, 0.029944272711873055, 0.028735682368278503, -0.07486067712306976, 0.030548572540283203, -0.10540924966335297, 0.10480494797229767, 0.10480494797229767, -0.10480494797229767, -0.16529779136180878, 0.05988854542374611, 0.10480494797229767, 0.0, -0.24015846848487854, -0.0006043016910552979, 0.029944272711873055, 0.05988854542374611, 0.029944272711873055, -0.029944272711873055, -0.13535352051258087, -0.029944272711873055, 0.10480494797229767, 0.0, 0.13535352051258087, 0.13535352051258087, 0.0, -0.13474921882152557, 0.10480494797229767, -0.10540924966335297, -0.17966562509536743, -0.07486067712306976, 0.029944272711873055, 0.0, -0.13474921882152557, 0.07546497881412506, -0.04491640627384186, 0.10480494797229767, -0.029944272711873055, 0.14972135424613953, -0.030548572540283203, 0.029944272711873055, -0.05988854542374611, -0.05988854542374611, -0.0006043016910552979, 0.0, -0.029339969158172607, 0.10480494797229767, -0.24015846848487854, 0.07486067712306976, 0.04552070423960686, 0.3156234622001648, -0.029944272711873055, 0.07486067712306976, 0.029944272711873055, 0.07486067712306976, 0.0, 0.0, -0.07546497881412506, 0.030548572540283203, 0.029944272711873055, 0.10540924966335297, 0.029944272711873055, -0.07486067712306976, 0.10420064628124237, -0.13474921882152557, 0.0, -0.10540924966335297, -0.13535352051258087, -0.07486067712306976, -0.0006043016910552979, -0.24015846848487854]",Automate software testing,"[Test Automation, Selenium]",[Software Quality]
Software Architect,"[0.3454503118991852, 0.07407976686954498, 0.08101832866668701, -0.14949125051498413, 0.07670112699270248, 0.0886981412768364, -0.1468321830034256, 0.020522590726614, -0.004945326596498489, -0.05315099656581879, -0.16037851572036743, 0.03521204739809036, 0.08205263316631317, -0.045550934970378876, 0.17473721504211426, -0.1707884967327118, 0.09238719195127487, 0.13088645040988922, 0.023290466517210007, -0.09936345368623734, -0.07802850008010864, -0.026242569088935852, -0.11988604813814163, 0.06274861097335815, -0.2793810963630676, 0.037833403795957565, 0.13919006288051605, 0.04514042288064957, 0.166098490357399, -0.05676896497607231, 0.07972867786884308, 0.047171346843242645, 0.19404125213623047, 0.17772704362869263, 0.0, -0.3329005837440491, 0.1548050493001938, -0.15879148244857788, -0.0477994866669178, -0.13590721786022186, -0.09667100757360458, -0.000590423122048378, 0.10364726185798645, -0.006314754486083984, -0.10397802293300629, -0.08371509611606598, -0.11003310978412628, -0.08807000517845154, -0.3518361449241638, 0.06341445446014404, 0.055144213140010834, -0.10460616648197174, 0.015539547428488731, 0.2644319534301758, -0.03093256801366806, 0.06714123487472534, -0.07939788699150085, -0.22552654147148132, 0.015317598357796669, 0.11028842628002167, -0.20297300815582275, -0.04455433040857315, -0.08338436484336853, 0.05318871885538101, 0.023918600752949715, -0.05186135321855545, -0.1741090714931488, 0.1527741253376007, -0.08570832014083862, 0.07570452243089676, -0.05381685122847557, -0.10298141092061996, 0.12394789606332779, 0.15805454552173615, -0.07072147727012634, -0.004983041435480118, -0.17942290008068085, -0.054851166903972626, 0.14915615320205688, 0.12191696465015411, 0.024211645126342773, 0.29303625226020813, -0.045215848833322525, -0.08064984530210495, -0.0717557966709137, -0.03550943732261658, 0.04920228198170662, -0.06271089613437653, 0.14524516463279724, -0.13550101220607758, -0.03886772692203522, -0.22294288873672485, -0.0073447320610284805, 0.13753195106983185, -0.060462355613708496, -0.2890121042728424, 0.0272768996655941, 0.0, 0.06843522191047668, -0.07444824278354645, -0.008638724684715271, 0.04126712679862976, -0.2567898631095886, -0.1764373928308487, -0.12029223144054413, -0.004983041435480118, -0.01092498004436493, -0.03465934097766876, -0.02461782842874527, -0.03650602698326111, 0.2550940215587616, -0.2577487826347351, -0.10988658666610718, 0.19703108072280884, 0.07208655774593353, -0.12295129895210266, 0.045546598732471466, 0.0882919430732727, -0.18902048468589783, 0.15709564089775085, -0.07673884183168411, -0.03720525652170181, 0.0112934410572052, 0.02417825162410736, -0.13018721342086792, -0.09799836575984955, 0.18396635353565216, 0.271110862493515]",Design software,"[Architecture, Design Patterns]","[Software Design, Software Architecture, Special Topics on Computer Architecture and Networks, Game Engine, Object Oriented Programming]"
Software Developer,"[-0.021524570882320404, 0.019180450588464737, 0.09652778506278992, 0.08575492352247238, 0.25493907928466797, 0.14091500639915466, 0.014598463661968708, 0.12404480576515198, -0.04718616232275963, 0.15158307552337646, -0.08386218547821045, -0.02597597986459732, -0.169953390955925, 0.24242626130580902, 0.24663040041923523, 0.12968385219573975, -0.09938506782054901, -0.17627304792404175, -0.03231988847255707, -0.15161661803722382, -0.11245277523994446, -0.170408695936203, -0.13408058881759644, 0.27189815044403076, 0.018717240542173386, 0.2135889232158661, 0.12511776387691498, 0.028695199638605118, 0.007670357823371887, -0.03667571395635605, -0.10987424105405807, 0.02793228253722191, 0.14274752140045166, -0.023664914071559906, -0.026337075978517532, -0.03797755017876625, -0.17883117496967316, 0.1727905571460724, 0.10708348453044891, -0.1485143005847931, -0.08551280945539474, 0.03615836799144745, 0.18422576785087585, 0.17895689606666565, -0.03699415922164917, -0.15455278754234314, -0.06373021751642227, -0.24958902597427368, -0.18889692425727844, 0.3557002544403076, -0.06532574445009232, -0.16186407208442688, 0.19623053073883057, 0.027195528149604797, -0.015440056100487709, -0.074180006980896, 0.061733946204185486, 0.09137741476297379, -0.13838356733322144, -0.026395689696073532, 0.056469812989234924, -0.12065866589546204, -0.0481591671705246, -0.048380255699157715, -0.14717166125774384, -0.20482739806175232, -0.13363555073738098, 0.1150398775935173, -0.13109764456748962, 0.08972577750682831, -0.0919991284608841, -0.002564474940299988, 0.10563613474369049, 0.15678668022155762, -0.15330356359481812, 0.05750729888677597, 0.018897265195846558, -0.05888935923576355, -0.02372739091515541, 0.05948159471154213, 0.03392595797777176, 0.09560564905405045, -0.06690269708633423, 0.017184516414999962, -0.17549873888492584, -0.08265416324138641, 0.12746652960777283, 0.05291300266981125, 0.01661931723356247, -0.021485749632120132, -0.15339809656143188, -0.09053214639425278, 0.09114803373813629, -0.036661144345998764, -0.21495980024337769, 0.128021702170372, 0.043997474014759064, 0.0038101375102996826, -0.06415469944477081, -0.03443201631307602, 0.02863871306180954, -0.04287794232368469, -0.22865185141563416, -0.26553285121917725, 0.18015310168266296, -0.2168341726064682, 0.029601331800222397, 0.16204994916915894, 0.005272887647151947, 0.11008039116859436, 0.1845189929008484, 0.000010531395673751831, -0.1276877522468567, 0.1176547184586525, -0.10855802893638611, -0.1032763421535492, 0.10636143386363983, 0.004367604851722717, 0.0049619898200035095, 0.1291038542985916, -0.1185254454612732, 0.07912905514240265, 0.15286602079868317, -0.23212715983390808, -0.016195643693208694, -0.06612265110015869, 0.17858968675136566, -0.0020203590393066406]",Develop software,"[Python, JavaScript, C++, Software Design, Java, Software Development]","[Artificial Intelligence Concepts, Machine Learning, Competitive Programming, Image Processing and Computer Vision, Applied Data Science Programming, Deep Learning, Text Mining, Web Programming, Fundamental Programming, Data Structure, Computer Graphics, Game Development Techniques, Smart Game, Robotics, Special Topics on Graphics, Interaction and Game, Computer Animation and 3D Modeling, Education and Simulation Games, Game Engine, Object Oriented Programming, Software Design, Software Architecture, Object Oriented Simulation, Special Topics on Software Engineering, Software Development Principles, Capstone Project, Software Evolution, Special Topics on Algorithm and Programming, Software Construction]"
Software Engineer,"[-0.08801450580358505, -0.054218269884586334, 0.046301454305648804, -0.010072735138237476, 0.17302004992961884, 0.051106374710798264, 0.01914479210972786, 0.013927284628152847, -0.04281706362962723, 0.1265764832496643, -0.18807044625282288, 0.008338205516338348, -0.04487946256995201, 0.22943976521492004, 0.3314247727394104, 0.1981765478849411, -0.1187010109424591, -0.1638154536485672, 0.08693843334913254, -0.20518818497657776, -0.033954620361328125, -0.2331443727016449, -0.16723616421222687, 0.3104294538497925, 0.016459882259368896, 0.2644185721874237, 0.09395752847194672, 0.10236962884664536, 0.07865674048662186, 0.020358510315418243, -0.002950146794319153, 0.04999838024377823, 0.0833880826830864, -0.1451108753681183, 0.023417331278324127, 0.12375408411026001, -0.2105962336063385, 0.11414246261119843, 0.06149614602327347, -0.13506199419498444, -0.1876574456691742, -0.04154206067323685, 0.1432383954524994, 0.0668792724609375, 0.022824391722679138, -0.16457891464233398, -0.06580289453268051, -0.32834580540657043, 0.011835448443889618, 0.3593100905418396, -0.04332750663161278, -0.0546455979347229, 0.2274441421031952, 0.04610711708664894, 0.030661528930068016, -0.08311030268669128, 0.0605546273291111, 0.03882460296154022, -0.18381574749946594, -0.1399904042482376, 0.11356574296951294, -0.16474446654319763, 0.090037040412426, -0.0394786074757576, -0.0750996321439743, -0.22393929958343506, -0.11091575771570206, 0.04568168520927429, -0.14026176929473877, 0.10099224746227264, -0.010760048404335976, 0.09016325324773788, 0.03847264125943184, 0.16775068640708923, -0.0319729745388031, 0.014088373631238937, -0.011240502819418907, -0.023241162300109863, -0.06291748583316803, 0.17094141244888306, 0.00952371209859848, 0.07362870126962662, -0.06562703102827072, -0.02634134143590927, -0.06200854480266571, -0.07176296412944794, 0.037681177258491516, 0.14285758137702942, -0.09728540480136871, -0.058294542133808136, -0.09084338694810867, -0.07793186604976654, 0.09984839707612991, -0.11740785837173462, -0.27870357036590576, 0.18670913577079773, 0.055949144065380096, -0.17095965147018433, -0.07851766794919968, -0.10026054084300995, 0.06357412785291672, -0.12645260989665985, -0.18143513798713684, -0.21184095740318298, 0.08764201402664185, -0.18831416964530945, 0.08913981914520264, 0.08204592019319534, 0.10741622000932693, 0.11192286759614944, 0.13652196526527405, 0.007672324776649475, -0.1303674876689911, -0.005540236830711365, -0.09841872751712799, -0.06965900957584381, 0.04806376248598099, 0.05393484607338905, -0.009269851259887218, 0.03328577056527138, -0.01811036467552185, 0.059156134724617004, 0.1413506418466568, -0.2826539874076843, 0.007826229557394981, -0.03550248593091965, 0.16445577144622803, 0.020215552300214767]",Develop software,"[Python, Java, Software Development]","[Artificial Intelligence Concepts, Machine Learning, Competitive Programming, Image Processing and Computer Vision, Applied Data Science Programming, Deep Learning, Text Mining, Object Oriented Programming, Fundamental Programming, Data Structure, Software Development Principles, Capstone Project, Software Evolution, Special Topics on Algorithm and Programming, Software Construction]"
Software Tester,"[-0.11043152213096619, -0.11043152213096619, -0.2518528699874878, -0.2518528699874878, -0.1414213478565216, 0.1414213478565216, 0.0, 0.0, 0.2518528699874878, 0.11043152213096619, -0.03098982572555542, 0.11043152213096619, -0.11043152213096619, 0.2518528699874878, 0.0, 0.0, 0.0, 0.0, -0.03098982572555542, 0.1414213478565216, -0.1414213478565216, 0.1414213478565216, 0.0, -0.1414213478565216, 0.0, 0.0, 0.2518528699874878, 0.03098982572555542, -0.07944169640541077, -0.2518528699874878, 0.11043152213096619, 0.0, 0.0, 0.1414213478565216, 0.0, -0.1414213478565216, 0.03098982572555542, 0.0, -0.11043152213096619, 0.0, 0.11043152213096619, 0.07944169640541077, -0.1414213478565216, -0.11043152213096619, 0.0, 0.11043152213096619, -0.1414213478565216, 0.0, -0.11043152213096619, 0.0, -0.2518528699874878, 0.0, -0.22086304426193237, 0.11043152213096619, 0.11043152213096619, 0.11043152213096619, 0.2518528699874878, 0.0, 0.1414213478565216, 0.0, 0.11043152213096619, 0.0, -0.11043152213096619, -0.11043152213096619, 0.0, 0.0, 0.0, 0.2518528699874878, -0.11043152213096619, -0.11043152213096619, 0.11043152213096619, 0.0, -0.1414213478565216, -0.2518528699874878, 0.03098982572555542, -0.11043152213096619, 0.03098982572555542, -0.2518528699874878, 0.0, -0.11043152213096619, 0.11043152213096619, 0.11043152213096619, 0.03098982572555542, -0.1414213478565216, 0.0, 0.0, -0.1414213478565216, -0.11043152213096619, 0.0, 0.0, 0.0, -0.03098982572555542, 0.0, 0.11043152213096619, 0.0, -0.11043152213096619, 0.11043152213096619, -0.11043152213096619, 0.11043152213096619, -0.03098982572555542, -0.2518528699874878, 0.11043152213096619, -0.362284392118454, -0.1414213478565216, 0.0, 0.11043152213096619, -0.11043152213096619, 0.0, 0.11043152213096619, 0.1414213478565216, -0.1414213478565216, 0.0, -0.1414213478565216, 0.0, 0.1414213478565216, 0.2518528699874878, -0.11043152213096619, -0.11043152213096619, 0.2518528699874878, -0.362284392118454, 0.0, 0.1414213478565216, 0.2518528699874878, -0.11043152213096619, 0.0, 0.0, 0.03098982572555542, -0.1414213478565216]",Test software,"[Manual Testing, Bug Tracking]",[]
